s01: F1=0.9058, AUC=0.9680
s02: F1=0.8747, AUC=0.5000
s04: F1=0.8750, AUC=0.9495
s05: F1=0.7823, AUC=0.9226
s06: F1=0.9385, AUC=0.5000
s09: F1=0.8759, AUC=0.9631
s11: F1=0.7736, AUC=0.8728
s12: F1=0.8755, AUC=0.9556
s13: F1=0.9056, AUC=0.9716
s14: F1=0.7561, AUC=0.5000
s22: F1=0.8516, AUC=0.9388
s23: F1=0.9367, AUC=0.5000
s31: F1=0.9475, AUC=0.9666
s35: F1=0.8160, AUC=0.9432
s40: F1=0.9684, AUC=0.9858
s41: F1=0.9097, AUC=0.9661
s42: F1=0.9211, AUC=0.9804
s43: F1=0.8887, AUC=0.9648
